Species*,Exp*,Trt*,Label,Weather,CO2,SowingDate,HarvestDate,SoilName*,Cultivar*,IrrigationTrt,MaxIntercept,InitialBio,InitialTT,InitialFsolar,NOTE
wheat,CC-model,48,2077,BRBS91X1,450,77121,77232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2077
wheat,CC-model,49,2078,BRBS91X1,450,78121,78232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2078
wheat,CC-model,50,2079,BRBS91X1,450,79121,79232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2079
wheat,CC-model,51,2080,BRBS91X1,450,80121,80232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2080
wheat,CC-model,52,2081,BRBS91X1,450,81121,81232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2081
wheat,CC-model,53,2082,BRBS91X1,450,82121,82232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2082
wheat,CC-model,54,2083,BRBS91X1,450,83121,83232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2083
wheat,CC-model,55,2084,BRBS91X1,450,84121,84232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2084
wheat,CC-model,56,2085,BRBS91X1,450,85121,85232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2085
wheat,CC-model,57,2086,BRBS91X1,450,86121,86232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2086
wheat,CC-model,58,2087,BRBS91X1,450,87121,87232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2087
wheat,CC-model,59,2088,BRBS91X1,450,88121,88232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2088
wheat,CC-model,60,2089,BRBS91X1,450,89121,89232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2089
wheat,CC-model,61,2090,BRBS91X1,450,90121,90232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2090
wheat,CC-model,62,2091,BRBS91X1,450,91121,91232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2091
wheat,CC-model,63,2092,BRBS91X1,450,92121,92232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2092
wheat,CC-model,64,2093,BRBS91X1,450,93121,93232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2093
wheat,CC-model,65,2094,BRBS91X1,450,94121,94232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2094
wheat,CC-model,66,2095,BRBS91X1,450,95121,95232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2095
wheat,CC-model,67,2096,BRBS91X1,450,96121,96232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2096
wheat,CC-model,68,2097,BRBS91X1,450,97121,97232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2097
wheat,CC-model,69,2098,BRBS91X1,450,98121,98232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2098
wheat,CC-model,70,2099,BRBS91X1,450,99121,99232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2099
